"","MetabID","shortname","Fill..","S.N.average","Ontology","Metabolite.name","Formula","HMDB","KEGG","HMDB_accession","CHEBI_ID","PubChem_ID","BiGG_ID","INCHIKEY","SMILES","Serum","Urine","SUB_CLASS","CATEGORY","MAIN_CLASS"
"Imazalil","8629_pos","Imazalil",0.89,51592.17,"Benzylethers","no MS2: Imazalil; LC-ESI-ITFT; MS2; CE","C14H14Cl2N2O",NA,NA,NA,NA,NA,NA,"PZBPKYOVPCNPJY-UHFFFAOYNA-N","ClC1=CC(Cl)=C(C=C1)C(CN1C=CN=C1)OCC=C",TRUE,TRUE,NA,NA,NA
"Imidazolelactic acid","1917_pos","Imidazolelactic acid",0.87,2704.33,NA,"Unknown","null","Imidazolelactic acid;1,5-Dimethylbarbituric acid;2-Hydroxy-3-(1H-imidazol-5-yl)propanoic acid","C05132;C05568","HMDB0002320;HMDB0244233;HMDB0253418","70808;NA;27487","459122;151461;NA","NA;NA;NA","null","null",TRUE,TRUE,"Imidazolyl carboxylic acids and derivatives","Azoles","Imidazoles"
"Imidazolepropionic acid","1274_pos","Imidazolepropionic acid",0.91,379.81,NA,"Urocanic Acid","null","Imidazolepropionic acid;Methylimidazoleacetic acid;Pi-Methylimidazoleacetic acid;(1-Methyl-1h-imidazol-2-yl)-acetic acid;N-(2-Aminoethyl)maleimide;3-Methylthymine;5-Ethyluracil;Gaboxadol;2-(4-Methyl-1H-imidazol-2-yl)acetic acid","C20522;C05828;C13693","HMDB0002271;HMDB0002820;HMDB0004988;HMDB0242285;HMDB0244488;HMDB0245938;HMDB0246786;HMDB0252570;HMDB0257616","73087;1606;70966;NA;NA;74766;NA;NA;NA","70630;75810;6451814;23043581;NA;123209;73267;3448;18926164","NA;46587;NA;NA;NA;NA;NA;NA;NA","null","null",TRUE,TRUE,"Imidazolyl carboxylic acids and derivatives","Azoles","Imidazoles"
"Incadronic acid","7804_neg","Incadronic acid",0.56,94.19,NA,"Unknown","null","Incadronic acid","","HMDB0253442","NA","NA","NA","null","null",TRUE,TRUE,"Bisphosphonates","Organic phosphonic acids and derivatives","Bisphosphonates"
"Indole","543_neg","Indole",0.4,22.87,NA,"Unknown","null","Indole;Isoindole","C00463","HMDB0000738;HMDB0245764","16881;33179","798;NA","NA;NA","null","null",TRUE,FALSE,"Indoles","Indoles and derivatives","Indoles"
"Indole-3-acetylglycine","5389_pos","Indole-3-acetylglycine",0.87,72210.79,NA,"Unknown","null","Indole-3-acetylglycine;Dazoxiben","","HMDB0240661;HMDB0250886","90332;NA","NA;53001","NA;NA","null","null",TRUE,TRUE,"N-acyl-alpha amino acids","Carboxylic acids and derivatives","Amino acids, peptides, and analogues"
"Indole-3-carbinol","1495_pos","Indole-3-carbinol",0.44,18.06,NA,"3-Methyloxindole","null","Indole-3-carbinol;5-Methoxyindole;Cinnamamide;methoxyindole;Phenethyl isocyanate","","HMDB0005785;HMDB0246822;HMDB0250263;HMDB0254550;HMDB0256402","24814;NA;23246;NA;60067","3712;13872;12135;17763644;NA","NA;NA;NA;NA;NA","null","null",TRUE,FALSE,"3-alkylindoles","Indoles and derivatives","Indoles"
"Indole-3-propionic acid","3109_neg","Indole-3-propionic acid",0.38,1053.51,NA,"Indole-3-Methyl Acetate","null","Indole-3-propionic acid;Indole-3-methyl acetate;2-Methyl-2-phenylsuccinimide","","HMDB0002302;HMDB0029738;HMDB0245217","43580;72782;NA","3744;74706;92154","NA;NA;NA","null","null",TRUE,TRUE,"Indolyl carboxylic acids and derivatives","Indoles and derivatives","Indolyl carboxylic acids and derivatives"
"Indoleacrylic acid","3186_pos","Indoleacrylic acid",0.49,664.87,NA,"Indole-3-Methyl Acetate","null","Indoleacrylic acid;6-Fluoropyridoxol","","HMDB0000734;HMDB0247065","132244;NA","5375048;6852038","NA;NA","null","null",TRUE,TRUE,"Indoles","Indoles and derivatives","Indoles"
"Indolelactic acid","3867_neg","Indolelactic acid",0.87,556.13,NA,"5-Methoxyindoleacetate","null","Indolelactic acid;5-Methoxyindoleacetate;Cinnamoylglycine;3-Indolehydracrylic acid;5-Ethyl-5-phenyl-1,3-oxazolidine-2,4-dione","C02043;C05660","HMDB0000671;HMDB0004096;HMDB0011621;HMDB0059765;HMDB0246785","NA;28281;68616;89877;NA","676157;18986;709625;69733299;115735","NA;46224;NA;NA;NA","null","null",TRUE,TRUE,"Indolyl carboxylic acids and derivatives","Indoles and derivatives","Indolyl carboxylic acids and derivatives"
