"","se_1","se_2","se_3","se_4","se_5","se_6","se_7","se_8","se_9","se_10","se_11","se_12","se_13","se_14","se_15","se_16","se_17"
"3-methylhistamine",15.9578539348192,16.2924230439438,16.0445805545216,15.8441987006308,15.9644905134533,15.8008414000947,16.2213815127866,16.2124632105897,16.3422439032684,15.7482175002659,16.344754351278,16.3271686148803,16.0299087279368,16.1821928871618,15.9874034473554,15.8902144735527,16.1836478317165
"3-methylhistidine",19.2184411146197,19.143214262216,19.1009034547932,18.9443586834259,19.1576140230783,19.2544372242751,19.444131101651,19.35922645349,19.1296928783765,19.2168638355214,19.184864926902,19.1882633454082,19.2206320743478,19.4230773742278,19.1472635925596,19.385796326037,19.3468240551051
"3-methylindole",15.6777335775397,15.827901034086,14.239555351155,15.947092045803,14.7796530639861,14.9552435642171,13.2770147216719,14.3927721343331,11.7567848592339,14.3422659495197,14.762999860825,15.3912507520809,14.4293885044453,16.2545776078765,15.6953866087452,16.0488432932909,14.357717099725
"3-methylthiopropionic acid",14.8306702886302,15.5353635330974,14.7029464913993,14.776041268122,14.3631196143743,14.7411425758056,14.9389973093093,14.9745843262057,14.8782167265203,15.2522789327744,15.2926551696099,15.4867899356892,14.7238943958673,15.1177144157573,14.9521774785198,15.5142960217578,14.6944701384672
"3-methylthymidine",14.0401983117406,13.6385434007125,13.6025552670535,13.4433018906475,13.580924846176,13.7579702664096,13.8169904631967,13.5343455064413,14.0204701336184,13.1141936207455,13.9831232293432,13.3609109881482,13.653187028925,13.9515803482478,13.5659851685681,13.8111260141166,13.3250820807216
"3-methyluric acid",14.3731670915378,15.1659314462621,14.7303400267472,15.9255345319938,14.9883980163408,15.7225031244432,14.8993729093389,15.1495561121725,15.0162153371519,15.4857638524013,15.3163713598234,15.7679607344612,14.8447566484854,15.0042570303601,15.6536129482333,15.2442387856842,14.7273553419986
"3-oxotetradecanoic acid",16.5182299234703,18.1799919015551,17.1349936984058,15.8724438657636,17.4254772615006,17.2322362328026,17.8807547322672,16.6686567472001,17.5562283926023,16.6727358076403,16.940411090746,17.1602681663038,17.7470144950594,17.1687905993062,16.8645990984976,16.6826707368311,17.2245788752527
"3-propoxy-1h-pyrazole-4,5-diol",18.792413185254,18.8922572899393,18.7930582035473,19.4800324349083,18.9020578303352,19.3091640649869,18.9381285408963,19.0549652513976,18.9109419346276,19.0890784586466,19.020245805608,19.1273524793355,18.9497500139705,19.1154458826103,19.1915809300647,19.1865404486725,18.8723344273495
"33fta10",11.2964225566567,11.2691058330087,11.3005442604876,11.437795259842,11.2363831272748,10.9241336137273,11.3809147728121,11.1155509381039,10.9389664249592,12.2441219042232,11.38442373745,11.4271195105813,11.3374921871363,11.2806276475698,11.3674297874403,11.2589734924436,11.3328501069398
"4'-azidocytidine",12.7214399552518,11.6439907653164,12.8599103364768,11.6102001310493,12.9475527222657,11.9320479781132,11.0857405422775,12.691946172224,12.3215005791079,12.7709784775271,12.8751708765729,12.6421995224079,12.7740642372294,12.7878425381031,12.7030033486802,12.5817807136761,12.8894807802743
"4,5dimethyl-3-(2-oxo-2-phenyl-ethyl)-thiazole",10.7742183578104,11.8374760911967,9.96629983526149,10.7242942711265,11.0687090687774,11.0182279164255,10.7790982602995,9.55518570806638,11.6424675751923,9.30218443160531,9.19326892265009,10.7844600412384,9.94109062022073,11.515735336564,9.13980367168116,10.9976223777213,9.63522726521014
"4,6-bis(methylthio)hexanoic acid",12.3496143270324,13.8905984197743,13.5266479347514,12.9812107966554,13.7180989626719,13.684931257229,14.0196420725956,13.6883958597725,13.8428348533073,13.6049233494548,13.5511400050648,13.260198542834,13.67751306306,13.9079892023583,13.2290608050026,13.7588691248018,13.6434830185834
"4-(7-hydroxy-6,7-dihydro-5h-cyclopenta[d]pyrimidin-4-ylamino)benzonitrile",12.3198779526446,13.3518497101735,12.6432235516035,13.2276327539956,12.7394689445638,13.1543121329039,13.0918980955232,13.1236895952978,12.9928957320393,12.1118197853571,12.2851224792739,10.2819904540407,11.9825379685555,12.8007159579984,10.8597309999468,12.8927069733653,12.4815365259904
"4-(7h-purin-6-ylsulfanyl)but-3-en-2-one",12.2451752453593,13.6436266458099,13.9351553175809,13.2644749279975,14.0469622984075,13.5250675101384,14.01324975677,13.9555939826792,13.4359815364159,13.4398623258953,13.4272061139909,13.726037827403,13.9518325950996,13.8781406870097,13.3672256772513,13.8441723397679,13.7835710426346
"4-(n,n-dimethylsulfamoyl)-7-hydrazino-benzofurazan",11.8611251893674,9.71760182396533,10.1515138264185,9.86040689236076,9.5329325503092,9.31950461421606,10.4723905389434,10.2767770928718,9.81263438307177,10.6040895271,9.45441817742769,10.5037387543569,9.46603750601181,10.6498098227469,10.8203808773101,10.8849039093511,10.7679851421844
"4-amino-4-deoxyarabinose",17.724001863988,14.309699942051,19.3447933240349,18.9341102466783,19.0418180043493,16.0856689182616,15.9104473235733,19.0893705821282,15.8462156260391,14.0899007149055,11.9203863417576,12.7057789995345,13.5252891172943,14.3942406135031,13.0339329249646,15.2719980195302,14.0713545921189
"4-aminobenzohydrazide",10.6632183152172,10.3183827247206,10.4575163716908,10.5227787598847,10.4076597882904,10.337669286262,10.5181218683057,10.4260957212015,10.3872791433075,10.489161215077,10.9821378113602,10.5683252503635,10.522833846728,10.410665236798,10.5966142999905,10.4339481679328,10.4843076075005
"4-dihydrocollidine",16.7662535082994,16.5878203404254,16.4444134403067,16.4928374044003,16.5740544099199,16.7830000474388,16.6482442789259,16.5804102986382,16.5863997159569,16.5738741034735,16.7252246426253,16.6818859655756,16.6008989783956,16.3245846684667,16.5862526100219,16.7023855844178,16.5824195097426
"4-fluoro-3-phenoxybenzoic acid",11.6048177112693,9.99294470385527,9.36770000822175,10.7170325589071,10.9567368237523,11.9190195394838,9.39062278344985,11.6102220851174,10.4182335690703,12.216772890737,11.1922300779148,11.447582751813,11.7627243763874,11.3713180924848,11.1119905832959,11.7387474371842,11.6756285109817
"4-formylaminoantipyrine",12.1367895388278,13.757844398363,14.2178025243181,13.629292146902,14.1051905402766,13.6304977951415,12.923019028182,14.1128049660639,13.3560848905328,14.4311214955757,12.9866200952428,13.8164428851656,14.0863195613657,13.22957159733,13.6316136302722,13.603577463976,13.6767411485071
"4-guanidinobutanoic acid",16.5212092331073,15.8538892977988,15.8642875314837,15.7194585552279,15.6474409894004,17.2456445807657,16.4910712518162,15.5875417677419,16.8208996968928,16.3456340540708,16.3357035852264,17.155013470783,16.4568495516925,16.4546979024809,15.5499185464879,16.9607593510078,15.5980193661403
"4-hydroperoxycyclophosphamide",11.6944081997951,12.3071808950523,11.6336353130179,10.220018540958,11.6776448494053,12.3276237288502,12.7277950275723,11.6718314900028,12.0720200802207,10.29365487255,10.3587867861097,11.39413268321,11.216074332908,11.4007199256453,10.62896117111,11.4055029886339,10.6404225827807
"4-hydroxy duloxetine",15.9102035688046,15.2546190980864,12.85045173241,15.4408407634783,12.549093877686,13.5500591636564,14.2774861204206,12.4917426784926,15.2531713058384,12.4688241468489,15.5724005920297,15.0209722852088,12.6565215307459,16.7562760148037,16.0567457682356,15.3720689057819,12.8918390887693
"4-hydroxy-5-(3',4'-dihydroxyphenyl)-valeric acid-o-glucuronide",10.4518315014114,9.51921352692028,10.5612958014643,10.5714973103178,10.5137217220343,10.5044499797964,10.4386189385978,10.5348095156336,10.4746619993842,9.40058459725522,10.4848559772351,10.436840818868,10.4667247763756,9.52258569797779,9.74781995020481,10.9974880615768,10.5218153608354
"4-hydroxy-5-(dihydroxyphenyl)-valeric acid-o-sulphate",14.512476093392,15.0174325269584,14.4368662420374,14.2374326651106,14.5368124137217,14.8567570993349,14.999281287739,14.4385123754304,15.617074768314,14.5505255621829,14.6484302817984,14.8109293762117,14.4762345046035,14.7130241515745,14.9253201108688,14.8108070351216,14.4910902976709
"4-hydroxy-5-(phenyl)-valeric acid-o-glucuronide",10.9944203225179,10.2923285235946,10.4845755467255,9.60916631706985,11.2542343296552,11.732782903748,9.76619604678676,11.4166414125896,10.840497263517,12.0173846602156,11.2879855535386,10.9722923014723,11.1636249983056,11.043155486044,10.8716621786775,10.1553753647709,11.3249009492016
"4-hydroxybenzoate",13.9852354364493,14.3295353706312,14.1112975256295,13.8478814031639,13.9456408499113,14.5941568185517,14.0849774916513,13.8360318700137,14.2768237808826,14.1170308995139,13.178468331226,13.8646023994573,14.013749898094,14.4442433889898,13.8294492878631,13.7918874106011,14.2156659702334
"4-hydroxybenzoic acid",15.6307982313407,15.7384620465935,15.4332533085463,15.4150279415607,15.6375641989607,16.0321691307587,15.7703923918741,15.4041132732208,15.6789467695958,15.9838352602223,15.7517615941553,15.8819143276879,15.6748916258915,15.0465117486831,15.6381768387513,15.7123893778196,15.4657489788005
"4-hydroxynonenal",17.1301241560258,16.4415648742454,16.8943077951274,16.8740461323296,16.6846521372016,16.7287934994098,17.4999439492464,16.6601782538097,17.4712107122518,16.9801916663433,15.9436113402957,16.4736234873545,15.9564904099694,16.872982664725,16.2129281520594,16.8230055251463,16.7885718646844
"4-hydroxyphenylpyruvic acid",14.172344131296,14.5816010577793,14.7394641381357,15.4230656750916,14.7252737429922,16.1288852812648,15.0088569996377,15.5254558058151,14.5977686614742,16.5965223700574,14.4962843271856,13.3816895164732,14.7893578928281,15.2581370024463,14.0541005502738,15.7129258317511,14.9727500867855
"4-hydroxyproline",21.159979986205,21.2940335290486,20.9664220386681,21.6997978111122,21.0976754625528,21.2526063727408,21.1945435127711,21.1590156479567,21.1943322135165,21.3717726090599,21.3000577787971,21.5151809613167,21.0626633815571,21.1595640880367,21.5030885524974,21.2831329386531,21.0609044823937
"4-methyl-1h-pyrrole-3-carboxamide",20.3833984379526,20.1322158893235,20.1275452509336,19.9920684560927,19.5555266330137,20.073769856006,20.2286637940739,19.9777501785286,20.4098121890068,19.2413345059071,20.3804246572219,20.5787602616219,19.8225700322921,20.1561829347404,20.2948874003258,20.1419987697603,19.8505425565232
"4-methyl-2-oxo-2h-chromen-7-yl sulfamate",11.7169146392333,10.6053195315261,10.6877825599553,9.93525413918378,9.61342634099019,10.2239966461974,10.4944912769222,10.5402809379948,9.3913655013782,10.4756381560114,10.1357097175005,10.2368002646886,10.2590522201611,9.56473564373961,10.2462711542422,9.95342061367507,10.2241348855787
"4-methyl-l-glutamate",14.0287335158367,13.7975476284551,14.6028279288572,13.962223779965,13.9762365343698,14.2154062886129,13.6694780539408,14.2662575716167,14.125410978018,14.5512885052203,13.809265003437,14.4694777621802,13.7908013568283,14.1508438093162,13.6194380320365,13.6187565481553,14.3548804749517
"4-methylbenzenecarbothioamide",16.6364326409072,16.3727326768919,16.7126339151925,16.9894907154839,16.6547791252339,17.0626202286625,16.365496534871,16.956306824708,16.3054524532294,17.2781471715847,16.2816621336211,16.3989210024903,16.7369986506383,16.5641374946092,16.567409222191,17.0182493078074,16.6308943318192
"4-methylthioamphetamine",15.8919480761914,16.6827232744207,15.9651459737438,16.3427489634339,16.311448892964,15.7723505020589,16.9524219755861,16.1425490035056,16.5541369740834,16.4302698070579,16.5263908161956,16.1738951934351,16.2811730174646,16.6062637123036,16.5553958224623,16.1662434739327,16.2688287816287
"4-methylthiobenzamide-s-oxide",12.6649379398613,13.5961058273762,13.8375383863825,14.3653596604438,14.0597920403721,14.496663303129,13.5198314268681,14.3632576028705,13.4883815874711,14.3003057279383,13.1846706327324,13.6123924072038,13.8850696967159,13.7730907254134,13.7902552018541,13.9949697349994,13.998047830666
"4-methylumbelliferone glucuronide",12.7766713422253,14.526154247357,14.171351146152,14.3944958951415,14.121072291673,13.8921107616443,14.1866690614644,14.1787902154926,14.3010092820674,13.7634101417171,14.8818456548609,13.9765289936589,14.0121102971743,14.4383504125058,14.1767788043294,13.8954106840706,14.1981181184357
"4-nitro-7-piperazinobenzofurazan",15.3525165319033,14.4551422338037,14.6025092033412,15.1434302121388,14.7519614124837,15.0262847277754,14.872168215488,13.2749599754129,15.9273082305144,14.5927569343818,14.6349652694756,15.5981459856743,14.8546493296683,14.1213990600842,15.3880118586423,12.7386791576027,15.1144994159311
"4-o-alpha-d-galactopyranuronosyl-d-galacturonic acid",10.3710017677758,9.33638321771355,8.86636429561913,10.1880845625786,12.6223648984357,12.2489834403335,12.8621498286858,9.23517466532461,9.20397521528836,12.3275288141707,10.6990368769834,9.47196806195004,9.00274999098965,8.95389288284022,10.5916250673855,12.8277660686778,8.7651061707498
"4-oxo-2-azetidinecarboxylic acid",15.7989324608937,15.2032965434953,15.3138561130159,15.6382030256435,16.5338888978396,15.8628308088946,15.4971875259329,15.6484810002929,15.6497926561276,16.0403625542196,15.3494311302447,15.6080770916795,15.3325889059303,15.6477086491365,15.5666234076702,15.9339477757075,15.5126116145229
"4-pyridoxic acid",15.1216610494537,14.5941458672787,14.8267458003206,14.0805989254042,14.4898758850137,14.7551353214437,14.3123853451977,14.0724533428765,14.5581803852757,15.210817080564,14.4748778355678,14.9300003259658,14.5513676168674,14.2753375600286,15.1743048033457,13.8759190339893,14.3635441078832
"4-trimethylammoniobutanoic acid",17.1814534261683,17.6907432111462,17.770477908561,17.1913376905896,17.9123964205436,17.9103392290599,17.7136101152954,17.7134414046488,17.5301771071072,18.4705079891043,16.9518188080377,17.1009308595424,17.8157791591192,17.7596197632195,17.2966087552315,17.5615617544746,17.6843444500077
"4-{[(5,5,8,8-tetramethyl-5,6,7,8-tetrahydronaphthalen-2-yl)carbonyl]amino}benzoic acid",13.6529918735636,13.2003971384214,13.111462507208,13.1208078750211,13.2263289992618,13.0541399380637,13.2302887273633,13.1214336786648,13.1802223131308,13.261926761742,13.2593302548867,13.2142665517694,13.2039387215321,13.1206674558171,13.215747901871,13.2672567618907,13.1809744753847
"5'-s-methylthioadenosine",11.321634484888,10.6759754453951,10.639306497303,11.255408122091,10.6619716175279,10.5725232855472,10.6954597198872,10.6659876539449,10.6187712857398,10.6385661934265,10.6482321113903,10.3596900731324,10.5015896341378,10.682858507745,10.7240737196678,10.7167268218118,10.2436337449398
"5,5-diphenyl-2-thiohydantoin",11.2183369566891,11.1747569147814,11.1200564716561,11.1422092912213,10.5698324057641,11.4871648202267,11.5014943618185,11.0489830241811,11.267322154065,11.097102251915,11.1959582626305,11.1922576458214,11.0354079289841,11.1593950188654,11.202086220448,10.6599872571163,11.0748511546496
"5,6-dichloro-1h-benzimidazole",18.1992646354911,18.0751540383402,17.9471996313893,18.1041854921265,18.0034238345568,17.9783234735814,18.1123757798228,17.9836999002528,18.035867713123,18.1030790709585,18.1544865196453,18.1452371258168,18.0479292919476,18.1062789716254,18.1298190905182,18.109994267741,18.0516515726579
"5,6-dimethoxynaphtol[2,3-b]furan-4,9-dione",13.0852888923901,12.4466659088277,12.2363405761379,12.039863635859,11.2631754741335,12.3599899578468,11.6777558675249,12.1001652969727,12.5024635673236,11.9590438012339,12.3670717458755,11.3844198540683,11.5078509853806,11.5851076782157,12.5644727605223,11.288210047003,12.6553493671017
"5,6-epoxy-8,11,14-eicosatrienoic acid",19.0367728277331,18.9131404888097,19.3968523406323,19.1741614179616,19.0376291772061,19.0013954118823,19.3907376013273,18.9905431662772,19.397618151369,18.7826769643605,19.2567887233345,19.6738388304682,19.28658264098,18.9377616877659,19.7055582496193,18.8182966730073,19.1384179717325
"5,9:7,10a-dimethano-10ah-[1,3]dioxocino[6,5-d]pyrimidine-4,7,10,11,12-pentol, octahydro-12-(hydroxymethyl)-2-imino-,(4r,4ar,5r,7s,9s,10s,10ar,11s,12s)-",11.7101734523842,13.9647580785035,13.8077183136834,13.8533118173273,13.400316050777,13.5966728440601,13.6421151875431,13.5192642015434,13.87182795386,13.2334055493571,13.2347979744622,13.3334854451319,13.2766644363426,13.6701829567247,13.9644611164157,13.6756870884442,13.5610893386601
"5-((7-(benzyloxy)quinazolin-4-yl)amino)-4-fluoro-2-methylphenol",11.7650210660481,11.7179087278333,11.7112194508346,11.8080896964639,11.6854546525078,11.7969286701755,11.7149903841896,11.2131431081052,11.7983501779657,11.7502568522984,11.7764637967813,11.7862963252513,11.6572658122463,11.7238575033163,11.8033925908777,11.7424402416717,11.6938112751981
"5-((p-hydroxybenzylidene)amino)-3-methylisothiazolo(5,4-d)pyrimidine-4,6(5h,7h)-dione",13.7169156070374,13.7229460999305,13.7165205432271,13.7226073175906,13.7134632065265,13.7259746257367,13.7195685613717,13.7111913163292,13.7195685613717,13.7165205432271,13.7168613935353,13.7214283906786,13.7107939841892,13.7199624231248,13.7173105148383,13.7123279065945,13.7138594797534
"5-(1h-indol-3-ylmethyl)-3-methyl-2-thioxo-4-imidazolidinone",10.8327203638197,10.7435987714922,9.35766286523625,10.3173865741608,10.4134094453036,10.670819335941,10.078850030521,9.83247183914718,10.2794857192724,10.1875180776802,11.1149793274746,10.9773615659079,10.7353335179755,10.4769763844711,11.5626394042245,11.0195426377358,9.46244155749456
"5-(3',5'-dihydroxyphenyl)-gamma-valerolactone-o-sulphate-o-methyl",12.0353429008435,12.0614295518236,12.1618489534897,12.2117362836736,12.1835668602447,11.2103611667876,12.1976301212696,11.0283444214687,12.1984480458963,12.2251460817288,12.372915980416,12.3236149271888,12.2294689120939,11.6194865164158,12.4174378284037,12.0767843510575,12.1378959305297
"5-(hydroxymethyl)piperidine-3,4-diol",16.0336401478771,16.3746635399724,16.1010448860918,16.1625401505408,16.2685364453171,16.3365321158837,16.577001857041,16.3721026915554,16.7084220918301,16.4769814307265,15.690424890736,16.176847374357,15.8831077427218,16.4199933971222,15.7314926820427,16.6957429300277,16.2765621089413
"5-[(azetidin-2-yl)methoxy]-2-chloropyridine",14.0225792696643,13.6198799532655,13.9804412878343,13.6687420100606,13.578575207275,13.9081187698826,14.0819540773371,13.8701483907643,14.3276320303042,14.0581253180005,13.6614718905357,14.1555469382783,13.7961178056417,13.9389913125213,14.0841510959319,13.7785523034604,13.9186826311508
"5-[[5-[[5-(pyrrol-2-ylidenemethyl)pyrrol-2-ylidene]methyl]-1h-pyrrol-2-yl]methylidene]pyrrole-2-carboxylic acid",12.5824076254876,11.3977405528345,10.1341756273389,11.753313146183,11.4522944317039,11.4035096746367,11.704769397801,11.4012651548102,11.5423915976051,11.4913693705059,11.6170392928498,11.6180094663104,11.428633341826,11.5668460124923,11.6886182266643,11.5159420110278,11.5874907382057
"5-acetylamino-6-formylamino-3-methyluracil",15.1341782292204,15.6028008487334,15.369859949817,15.2819084313009,15.4784470667091,15.7601528533408,15.3536346751645,15.5618584889905,15.0749607423394,15.8436035745283,15.8421217475112,15.1091135181445,15.7267440219089,15.5490196484344,15.4167575951066,15.6353746685532,15.7212968647958
"5-amino-1-[carboxy(methyl)amino]pentane-1,1,2,2,3,3,4,4,5-nonacarboxylic acid",11.5707670058123,11.909982794165,11.2036475448659,11.4117881339424,11.5794918654057,11.6930399513634,11.8617976680553,11.4788796582613,11.8935043545939,11.1359728941134,11.836272194775,11.3234682281821,11.2212740901961,12.30411102038,11.0861308898791,12.0588730177909,12.153665865483
"5-chloro-2'-deoxyuridine",12.4494502160348,12.8942301150666,12.9887989002588,12.997508779602,12.8269472171733,12.9690409480632,12.9110578778435,12.8389790473629,13.28830356226,12.8435086572442,13.5523222938509,13.3352962103322,13.0390369123932,13.0981139246623,13.4188873486376,12.9927021505453,12.9179859606535
"5-hepe",17.2383811785194,16.9437973223152,17.5586277460094,17.3628857848491,16.9259480993149,16.3189053561755,17.2425375466265,16.9578693861016,17.1810920636616,15.7943555608357,17.5796818195623,17.2255403799833,17.172506522745,16.8531629210056,18.044696302283,16.8320072423008,17.1722112950052
"5-hydroxyindole",15.424274911012,15.4755615282816,15.0583859555994,15.5683614270208,15.5413094495333,15.4650228642341,15.0658847061859,15.3062027503797,15.8051375731322,15.0250242493631,15.1430968754358,15.2534013663074,14.7576327916212,15.7846905612727,15.3974967290025,15.3097375097029,15.2046891650919
"5-hydroxyindoleacetic acid",15.4288204927438,14.7379103698965,14.8265778447466,15.1589960002059,15.1761600300795,15.0619319217269,15.0013902700972,15.0850820976059,15.2831839826984,14.6459159671031,14.9644406126029,15.3530120592905,15.2523198590511,15.1088087270361,14.8800748993333,12.9711153977804,15.2288678494807
"5-hydroxypyrazine-2-carboxylic acid",15.0017031994084,15.210696838176,14.8091524462173,14.7369042521346,15.0072155197454,15.143650351018,15.0649413689472,14.8706018987527,14.9640825344826,15.1956855897271,15.0056342402364,15.2584955712963,14.9762697550941,14.7026485763149,14.9321937731733,15.0927556754382,14.8780348219975
"5-methylcytidine",11.5431321109603,11.4767462278962,11.5242988192964,11.5328870350843,11.567989710874,11.6282366616753,11.515139997965,11.6032593140174,11.5256324732932,11.6883841801203,11.4829319403681,11.1930158865109,11.5207018555296,11.3271330493715,11.4914275463095,11.5255588027104,11.4376490594623
"5-methylcytosine",14.9461020105596,15.1254311498128,14.8600862571116,14.7561577873963,14.7694221401822,15.2265113141628,14.8757796518769,14.7372070970728,14.6956513271468,14.8540932367394,14.3702307014933,14.4369878977237,14.6643596221353,14.8805872116565,14.7165920970498,14.8051593810485,14.8173441395301
"5-tetradecenoic acid",17.1718270158278,18.2530316276278,17.0260556559525,16.5880991013041,17.3251936327306,16.4001397596612,17.8758513319687,16.1766008211164,17.3608138511593,15.4213487894928,17.5562075380916,16.6913799833175,17.5618824491225,16.6207416970911,17.1800373955953,16.3254602042234,17.0060562281765
"5alpha-tetrahydrocortisol",13.1764015991831,13.2940177828342,12.3586911008599,11.9456684762322,12.9168988312529,13.1460085676645,12.0903716860577,11.1555337756723,12.2933938014514,14.2943428489221,12.9638783319928,12.603782689854,13.0545291557345,12.5907569036296,12.8997754622581,12.9541379226957,12.3554147773378
"5z-dodecenoic acid",15.7373131299164,16.9759067486333,15.8744053276254,15.1111794168078,16.1763004561546,15.599176932137,16.5736151690319,15.3350464740244,16.263304863075,15.3583592990496,15.9907606719218,15.7329979776527,16.3816086054163,15.4540777049388,15.875128023901,15.4420652776996,15.7983064409358
"6-[(1z,2z)-3-hydroxy-3-phenyl-2-propene-1-ylidene]-2,4-cyclohexadiene-1-one",14.517406863789,14.4567671561281,14.6878514434458,15.0304233410466,14.5000547133973,15.2339780470057,14.5426088861663,14.6628472497809,15.2969887075754,15.0379163081907,14.8223744966911,14.7782910311652,14.9737357315779,15.2206318564131,15.3148855620214,15.1653360872429,14.9339263148637
"6-[(2s,3s,4r,5r)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]oxane-2,5-dione",11.6697196023907,14.1990819578377,9.46400569366548,12.0332509868658,14.2951637812659,13.5090403458977,13.7832701468427,14.2623310094787,13.7425335290774,13.9864641080334,11.5417858785592,12.0045076029494,9.3758221925865,14.0845683131226,12.3365036204242,13.9217185864798,14.34302952031
"6-[4-(2-carboxyethyl)phenoxy]-3,4,5-trihydroxyoxane-2-carboxylic acid",13.5652896473413,12.8706360887164,13.1338429498575,13.1896680019568,13.6516055662945,13.3957211457936,13.057004448752,11.5051863758401,13.3167352767209,14.0180104135984,13.9252336845628,14.985896767473,13.7927290931338,12.5317039548688,14.3353140341212,13.7370510752315,13.4261854450588
"6-amino-1-naphthalenesulfonamide",15.8460885480556,14.4037390006398,15.4919750291528,17.6268387978328,15.6571656740848,14.0792028141471,11.1531628722471,15.9766815903417,13.4196059937225,15.9616012035057,15.8872117041113,14.4648282441163,15.349396643931,15.2021271718727,15.6264808055503,15.6331191161319,15.6917970961885
"6-chloro-5-methyl-n-quinolin-4-yl-2,3-dihydroindole-1-carboxamide",13.8217414129629,13.5796013294866,13.2835510428952,13.4693291976157,13.1697122248221,13.0909060841632,13.4837295774686,12.3680414470959,13.7680207656811,13.6227826708738,13.7706165846419,13.8307680563858,13.4111205791091,13.5109673704389,13.7991606426406,11.8695254767889,11.8330474860399
"6-fluoropyridoxol",14.816998202839,14.5766655653872,14.6572540893098,14.402765519277,14.2152011910162,14.8766818303361,14.4404775593159,14.9307520254668,14.5898660668882,14.4417824520243,13.8812711205056,14.3838670264749,13.9425671525263,15.088785460131,14.5745952038782,14.8191055723451,14.2898489942452
"6-formylpterin",11.5364752966677,14.2900770050735,14.1680641310725,14.4892476512156,14.3450988350381,14.8626046109842,14.2895390449605,14.6644392209825,14.2381204079562,14.9642655714678,14.3045653922007,14.4759472880833,14.185728106251,14.3071203218676,14.1101420857462,14.544229967912,14.2394213404266
"6-hydroxymelatonin",16.8874587313184,16.6030437153775,16.9519571563974,16.7336125191594,16.8336159975268,17.3037661267036,16.5046295231911,17.0403238347054,16.3849510922543,17.5679191557643,16.9431095881282,16.3809623951784,16.9700817353633,16.7125465026544,16.7783347693083,16.6337453958739,16.9063967733407
"6-nitrotryptophan",11.4063513687823,11.5001626783403,12.4154296623451,12.225447240166,11.7755758724151,11.2514256167819,10.5558595538373,11.7706077048258,11.7296309752225,11.7417551097459,12.0580567565424,12.4091406723353,11.8197811462515,11.319669036282,12.5902735929671,11.233538662061,12.0125794651434
"6-oxopiperidine-2-carboxylic acid",14.2969027792169,14.6967266780751,13.6436708159212,13.3208244176984,14.0979498770514,13.9167675241759,14.5412256262821,13.7190496529345,15.0949596070469,14.3045332347618,13.6589279972812,14.2198474457929,14.2591801759473,14.6752173811087,13.6576271754462,13.793199670419,14.3734117767743
"7,8-dihydro-2'-deoxyguanosine",14.1441525857802,14.106986593571,13.3385257570715,14.2724202816341,13.5259582263504,14.1438836555223,14.1856746888735,12.9168812278364,14.1238091725891,14.3259942393802,13.9639523567305,14.4334304817641,13.530363572929,13.7863744153568,14.5234395934763,14.1863988138556,13.6426700492849
"7-(1,5-dimethyl-3-(phenoxymethyl)-1h-pyrazol-4-yl)-3-(3-(naphthalen-1-yloxy)propyl)-1h-indole-2-carboxylic acid",12.2779872738406,12.1539659996622,10.7237791039881,12.3206510294891,11.6845411371791,12.3806811016172,12.1696042885032,12.4921627254019,12.3202227956928,13.2913940123967,12.2780478923126,12.4619327332585,11.7875071233699,11.3355450907879,9.92078710933504,12.2754810298034,12.0219998513211
"7-(2-hydroxyethyl)guanine",10.4124576924693,9.86516732236302,9.77852107877021,10.3700147552116,9.52156137171819,10.7300664655775,10.0674395573676,9.82145027322192,10.0059493474593,9.7950393236932,10.5995024069762,9.67363687557726,10.5376401566579,10.8785736182697,10.4437446443828,10.4004405214494,10.1998642956268
"7-(trifluoromethoxy)indolin-2-one",12.7183014110872,11.8635181459719,11.8082017021757,11.97467796704,11.8758370340672,11.3740744508843,11.9415069814183,11.6073799021304,11.7724520319031,11.8288689720252,11.6556435734842,11.903674674671,11.6628246542254,11.7892090565974,11.9527309279784,11.7843689712032,11.7961302849732
"7-acetamidoclonazepam",10.4008402269586,10.700866542301,11.990327504735,10.2340369010021,12.0846854169649,11.5231975853063,10.0453844357364,11.9691679150428,9.61809638266993,11.9360242709161,9.23703493694053,9.53376936147272,9.08355979844373,9.2665069654765,9.86618323659557,9.46441467324189,9.87070640308913
"7-amino-4-(trifluoromethyl)coumarin",12.4243591877707,11.8072386621645,11.7741761790222,11.8258824320176,11.78198348848,11.7892049078483,11.7869732625324,11.7018981931945,11.7636580649387,11.7187057505861,11.4585954754844,11.1774809670652,11.0784875064937,11.7067037050141,11.8157154779911,11.5107457185495,11.7275825227719
"7-deoxydoxorubicinone",12.9952881366084,15.4018203456142,15.2280753724735,15.5047859096631,15.2933801095984,15.1811217845106,15.4884924408214,15.2589556467487,15.2636944435504,15.2360474039721,15.3933151914644,15.3022890766975,15.1105576309305,15.4433580686712,15.3475828651907,15.237675934466,15.3427451712335
"7-ethoxycoumarin",13.3526798704698,11.911386611177,11.9765133538965,12.3145768346117,13.1165819560808,12.5449623830136,12.6787263034584,12.6699781747212,13.0420768547486,12.4568931889575,13.0671354428558,12.8096416770851,13.1408688604791,12.6578996879705,13.1812179291365,11.7133366341205,11.9614699839433
