"","MetabID","shortname","Fill..","S.N.average","Ontology","Metabolite.name","Formula","HMDB","KEGG","HMDB_accession","CHEBI_ID","PubChem_ID","BiGG_ID","INCHIKEY","SMILES","Serum","Urine","SUB_CLASS","CATEGORY","MAIN_CLASS"
"1-pyrroline-5-carboxylic acid","423_neg","1-pyrroline-5-carboxylic acid",0.73,135.75,NA,"Unknown","null","1-Pyrroline-5-carboxylic acid;2,3-Dihydro-1H-pyrrole-2-carboxylic acid;2,5-Dihydro-1H-pyrrole-2-carboxylic acid;(2s)-5-Oxopyrrolidine-2-carbaldehyde;2-(Prop-2-ynylamino)acetic acid;DL-Propargylglycine;Glutarimide;N-Methylsuccinimide;1-Methylpyrrole-2,5-diol","C03912;C07275","HMDB0001301;HMDB0244902;HMDB0245496;HMDB0246837;HMDB0246989;HMDB0251529;HMDB0252816;HMDB0255192;HMDB0255337","371;NA;NA;NA;NA;NA;5435;NA;NA","440162;13419849;97858;3033056;185909;NA;70726;70717;21326740","NA;NA;NA;NA;NA;NA;NA;NA;NA","null","null",TRUE,TRUE,NA,NA,NA
"1-salicylate glucuronide","9123_neg","1-salicylate glucuronide",0.58,92.24,NA,"Unknown","null","1-Salicylate glucuronide;Beta-D-Glucopyranuronic acid;6-(3-carboxyphenoxy)-3,4,5-trihydroxyoxane-2-carboxylic acid;6-(4-carboxyphenoxy)-3,4,5-trihydroxyoxane-2-carboxylic acid;5-Hydroxy-3-[[5-(4-nitrophenyl)furan-2-yl]methylideneamino]-1H-imidazol-2-one","","HMDB0010313;HMDB0010314;HMDB0124994;HMDB0125174;HMDB0260376","73961;NA;NA;NA;NA","3084023;168876;131831545;131637326;53924553","NA;NA;NA;NA;NA","null","null",TRUE,TRUE,NA,NA,NA
"1-sulfooxymethylpyrene","9039_neg","1-sulfooxymethylpyrene",0.42,47.72,NA,"Unknown","null","1-Sulfooxymethylpyrene","","HMDB0244010","NA","131320","NA","null","null",FALSE,TRUE,NA,NA,NA
"1-tert-butyl 4-ethyl 3-oxopiperidine-1,4-dicarboxylate","7049_neg","1-tert-butyl 4-ethyl 3-oxopiperidine-1,4-dicarboxylate",0.36,596044.5,NA,"Unknown","null","1-Tert-Butyl 4-ethyl 3-oxopiperidine-1,4-dicarboxylate;N-Benzyl-D-glucamine","","HMDB0247311;HMDB0255091","NA;NA","15852989;14777110","NA;NA","null","null",FALSE,TRUE,NA,NA,NA
"1-tert-butyl 4-ethyl 5-oxoazepane-1,4-dicarboxylate","7724_neg","1-tert-butyl 4-ethyl 5-oxoazepane-1,4-dicarboxylate",0.29,15.33,NA,"Unknown","null","1-Tert-butyl 4-ethyl 5-oxoazepane-1,4-dicarboxylate","","HMDB0244604","NA","NA","NA","null","null",FALSE,TRUE,NA,NA,NA
"1-{2-[(3-ethylphenyl)amino]-2-oxoethyl}-6-oxo-1,6-dihydropyridine-3-carboxylic acid","8465_neg","1-{2-[(3-ethylphenyl)amino]-2-oxoethyl}-6-oxo-1,6-dihydropyridine-3-carboxylic acid",0.47,28718.84,NA,"Unknown","null","1-{2-[(3-Ethylphenyl)amino]-2-oxoethyl}-6-oxo-1,6-dihydropyridine-3-carboxylic acid;Bcl-2 Inhibitor;Desmedipham;5-Nitro-2-(3-phenylpropylamino)benzoic acid;Phenmedipham","C18417;C13705;C18420","HMDB0243809;HMDB0248902;HMDB0251050;HMDB0255766;HMDB0256405","NA;NA;81733;NA;81734","71700183;11822705;24743;4549;NA","NA;NA;NA;NA;NA","null","null",TRUE,TRUE,NA,NA,NA
"10-(2-(diethylamino)ethyl)-9(10h)-acridinone (4,5-dihydro-2-thiazolyl)hydrazone","13350_pos","10-(2-(diethylamino)ethyl)-9(10h)-acridinone (4,5-dihydro-2-thiazolyl)hydrazone",0.2,10.36,NA,"Unknown","null","10-(2-(Diethylamino)ethyl)-9(10H)-acridinone (4,5-dihydro-2-thiazolyl)hydrazone","","HMDB0257256","NA","NA","NA","null","null",FALSE,TRUE,NA,NA,NA
"10-chloro-1-[(3s)-3-hydroxypyrrolidine-1-carbonyl]-3-phenyl-6,7-dihydrobenzo[a]quinolizin-4-one","14559_pos","10-chloro-1-[(3s)-3-hydroxypyrrolidine-1-carbonyl]-3-phenyl-6,7-dihydrobenzo[a]quinolizin-4-one",0.38,20.2,NA,"Unknown","null","10-Chloro-1-[(3S)-3-hydroxypyrrolidine-1-carbonyl]-3-phenyl-6,7-dihydrobenzo[a]quinolizin-4-one","","HMDB0259567","NA","10454840","NA","null","null",FALSE,TRUE,NA,NA,NA
"10-hydroxy-2-decenoic acid","2977_neg","10-hydroxy-2-decenoic acid",0.58,156.83,NA,"Unknown","null","10-Hydroxy-2-decenoic acid;Cyclohexyl propan-2-yl carbonate","","HMDB0244269;HMDB0250658","NA;NA","92837;22123692","NA;NA","null","null",FALSE,TRUE,NA,NA,NA
"10-nitrooleate","10239_pos","10-nitrooleate",0.07,999463.5,NA,"Unknown","null","10-Nitrooleate;Nitro-oleic acid;18-Nitrooctadec-9-enoic acid","","HMDB0247556;HMDB0255637;HMDB0257702","NA;NA;NA","53394576;NA;87276089","NA;NA;NA","null","null",FALSE,TRUE,NA,NA,NA
