feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
PWY3O.4107..NAD.salvage.pathway.V..PNC.V.cycle.	Group	Homo	2.1611975927332	0.785424116985271	10	9	0.0249958395780197	0.17259032089585
PWY.5676..acetyl.CoA.fermentation.to.butanoate.II	Group	Homo	1.74828795682361	0.639065985079465	10	10	0.0256192852998011	0.172781226440519
CENTFERM.PWY..pyruvate.fermentation.to.butanoate	Group	Homo	1.15686426702337	0.455053274292202	10	10	0.0345888107143566	0.182162708504111
HEME.BIOSYNTHESIS.II..heme.b.biosynthesis.I..aerobic.	Group	Homo	-1.84640181985816	0.689383530039561	10	8	0.027998046767547	0.182162708504111
P42.PWY..incomplete.reductive.TCA.cycle	Group	Homo	-2.03656118348397	0.807485773210076	10	8	0.0356917587922485	0.182162708504111
P441.PWY..superpathway.of.N.acetylneuraminate.degradation	Group	Homo	-0.673662948152659	0.266564521742096	10	10	0.0354092665949663	0.182162708504111
PWY.5918..superpathway.of.heme.b.biosynthesis.from.glutamate	Group	Homo	-1.64829267606277	0.665559166220282	10	8	0.0383169835129337	0.182162708504111
PWY.6125..superpathway.of.guanosine.nucleotides.de.novo.biosynthesis.II	Group	Homo	-0.591073435880131	0.232252704449614	10	10	0.03444389980399	0.182162708504111
PWY.6126..superpathway.of.adenosine.nucleotides.de.novo.biosynthesis.II	Group	Homo	-0.539806972735389	0.217429861837798	10	10	0.0379532660146403	0.182162708504111
PWY.6590..superpathway.of.Clostridium.acetobutylicum.acidogenic.fermentation	Group	Homo	1.13192668708614	0.44972794572089	10	10	0.0359812961465201	0.182162708504111
PWY.7197..pyrimidine.deoxyribonucleotide.phosphorylation	Group	Homo	-0.635050110367061	0.245217538496456	10	10	0.0321260017501512	0.182162708504111
PWY.7208..superpathway.of.pyrimidine.nucleobases.salvage	Group	Homo	-0.587084390871122	0.233895297865401	10	10	0.0363691895851319	0.182162708504111
PWY.7220..adenosine.deoxyribonucleotides.de.novo.biosynthesis.II	Group	Homo	-0.657671188490937	0.250770757558129	10	10	0.0305269894260684	0.182162708504111
PWY.7222..guanosine.deoxyribonucleotides.de.novo.biosynthesis.II	Group	Homo	-0.657671188490937	0.250770757558129	10	10	0.0305269894260684	0.182162708504111
PWY.7228..superpathway.of.guanosine.nucleotides.de.novo.biosynthesis.I	Group	Homo	-0.556340754627968	0.222193938363592	10	10	0.0367209746366711	0.182162708504111
PWY.7400..L.arginine.biosynthesis.IV..archaebacteria.	Group	Homo	-0.183247122487263	0.0729545990858551	10	10	0.0362692731219588	0.182162708504111
PWY.7851..coenzyme.A.biosynthesis.II..eukaryotic.	Group	Homo	-0.284937060033139	0.115015675619482	10	10	0.0382678744347622	0.182162708504111
PWY.7942..5.oxo.L.proline.metabolism	Group	Homo	1.18817646664043	0.465963386676559	10	5	0.0341781096113862	0.182162708504111
PWY0.1241..ADP.L.glycero..beta..D.manno.heptose.biosynthesis	Group	Homo	1.38054112463857	0.533253668797733	10	10	0.0321680068362293	0.182162708504111
PYRIDNUCSAL.PWY..NAD.salvage.pathway.I..PNC.VI.cycle.	Group	Homo	2.07733330795464	0.777842836409675	10	9	0.0283343971420415	0.182162708504111
CITRULBIO.PWY..L.citrulline.biosynthesis	Group	Homo	-0.847507881417874	0.3506391146254	10	9	0.0420439791994326	0.185346507500728
P23.PWY..reductive.TCA.cycle.I	Group	Homo	-0.874045031844511	0.359359331060133	10	7	0.0410590715902548	0.185346507500728
PHOSLIPSYN.PWY..superpathway.of.phospholipid.biosynthesis.I..bacteria.	Group	Homo	-1.30070280486279	0.534626369348586	10	10	0.0410150323470691	0.185346507500728
PWY.4984..urea.cycle	Group	Homo	-0.8719347666533	0.35677175756639	10	9	0.0403149256333679	0.185346507500728
PWY.5873..ubiquinol.7.biosynthesis..late.decarboxylation.	Group	Homo	0.721520535510275	0.301160412491556	10	3	0.0434605603794812	0.185346507500728
PWY.5981..CDP.diacylglycerol.biosynthesis.III	Group	Homo	0.960799496160813	0.400025504349137	10	10	0.0430525532015577	0.185346507500728
PWY.6606..guanosine.nucleotides.degradation.II	Group	Homo	-0.829563338113132	0.343879023114284	10	10	0.0423513103762561	0.185346507500728
PWY.841..superpathway.of.purine.nucleotides.de.novo.biosynthesis.I	Group	Homo	-0.440757248900724	0.185041770229256	10	10	0.044411428928883	0.186656730280813
PWY.7229..superpathway.of.adenosine.nucleotides.de.novo.biosynthesis.I	Group	Homo	-0.450128028569096	0.191400963745333	10	10	0.0465535999934005	0.192864914258374
PWY.7209..superpathway.of.pyrimidine.ribonucleosides.degradation	Group	Homo	0.834767756345942	0.357944274297593	10	3	0.0480028224537909	0.196067866360555
PWY.6608..guanosine.nucleotides.degradation.III	Group	Homo	-1.09062154608966	0.47360811725421	10	10	0.0502512483429616	0.199336913421328
PWY.6901..superpathway.of.glucose.and.xylose.degradation	Group	Homo	0.278610876580984	0.121398398016092	10	10	0.0508652813557872	0.199336913421328
PWY.7198..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.IV	Group	Homo	-0.504306384340998	0.218911635000695	10	10	0.0501802901687155	0.199336913421328
P108.PWY..pyruvate.fermentation.to.propanoate.I	Group	Homo	-0.953143795133782	0.421087421965712	10	7	0.0534272597569689	0.206585404393613
PWY.5189..tetrapyrrole.biosynthesis.II..from.glycine.	Group	Homo	0.660485636132576	0.296083343806117	10	10	0.056231825446188	0.214568807623612
PWY.5384..sucrose.degradation.IV..sucrose.phosphorylase.	Group	Homo	0.545992973207271	0.254075434733095	10	10	0.0638806355746711	0.237504927136598
THRESYN.PWY..superpathway.of.L.threonine.biosynthesis	Group	Homo	-0.324330219256255	0.150843251616828	10	10	0.0637639391604929	0.237504927136598
PWY.4041...gamma..glutamyl.cycle	Group	Homo	-1.9998991935543	0.938866453326611	10	10	0.0657805688222962	0.241472974157796
PWY.6527..stachyose.degradation	Group	Homo	0.551921401416477	0.261205536376343	10	10	0.0675595652961972	0.244903424198715
PWY.6628..superpathway.of.L.phenylalanine.biosynthesis	Group	Homo	-1.27015782998818	0.606639592148572	10	9	0.0696098360278534	0.246181127415579
PWY.7111..pyruvate.fermentation.to.isobutanol..engineered.	Group	Homo	0.548029240590926	0.261340193790628	10	10	0.0692604363723138	0.246181127415579
PWY.6630..superpathway.of.L.tyrosine.biosynthesis	Group	Homo	-1.28713159318588	0.622296824703501	10	9	0.0724137877279013	0.253012029410739
BIOTIN.BIOSYNTHESIS.PWY..biotin.biosynthesis.I	Group	Homo	-1.08014074175273	0.528636331289322	10	9	0.0752920557456154	0.253891815886377
PWY.5130..2.oxobutanoate.degradation.I	Group	Homo	-1.54351060127745	0.753606384145095	10	10	0.0747206957996059	0.253891815886377
PWY.6519..8.amino.7.oxononanoate.biosynthesis.I	Group	Homo	-1.10016595510396	0.536950467339804	10	9	0.0746337777327093	0.253891815886377
COA.PWY.1..superpathway.of.coenzyme.A.biosynthesis.III..mammals.	Group	Homo	-0.234095885801395	0.118033896735472	10	10	0.0826264206869003	0.273345339857855
PWY.2941..L.lysine.biosynthesis.II	Group	Homo	-0.510411066583743	0.259252052335438	10	10	0.084502550735223	0.273345339857855
PWY.5659..GDP.mannose.biosynthesis	Group	Homo	-1.14652529546605	0.580519948632869	10	10	0.0836941232371188	0.273345339857855
PWY.6305..superpathway.of.putrescine.biosynthesis	Group	Homo	1.77809732795753	0.904298556547229	10	3	0.0848313123696793	0.273345339857855
PWY.5497..purine.nucleobases.degradation.II..anaerobic.	Group	Homo	-1.16554949017681	0.598782301227847	10	9	0.0874593829492423	0.27871671489319
PWY.6823..molybdopterin.biosynthesis	Group	Homo	0.481109663903129	0.24897287554929	10	10	0.0893920149142701	0.281779177447156
FOLSYN.PWY..superpathway.of.tetrahydrofolate.biosynthesis.and.salvage	Group	Homo	-0.861555771786823	0.467736812706325	10	10	0.102735003586061	0.316948415318698
PWY.6612..superpathway.of.tetrahydrofolate.biosynthesis	Group	Homo	-0.873662079645522	0.474005977639211	10	10	0.102549438564729	0.316948415318698
PWY.1269..CMP.3.deoxy.D.manno.octulosonate.biosynthesis	Group	Homo	-1.08614822112392	0.59589648949275	10	10	0.10581163783829	0.323003947085306
PWY66.409..superpathway.of.purine.nucleotide.salvage	Group	Homo	-0.712698168859976	0.401063311220273	10	10	0.113464816692397	0.342758300424948
FUC.RHAMCAT.PWY..superpathway.of.fucose.and.rhamnose.degradation	Group	Homo	-2.17629801403194	1.26563086356651	10	8	0.123832686733652	0.362535651606524
FUCCAT.PWY..fucose.degradation	Group	Homo	1.27047052612678	0.735131103644532	10	10	0.12221112896556	0.362535651606524
SER.GLYSYN.PWY..superpathway.of.L.serine.and.glycine.biosynthesis.I	Group	Homo	-0.371482373021334	0.215978547786697	10	10	0.123746229679739	0.362535651606524
TRPSYN.PWY..L.tryptophan.biosynthesis	Group	Homo	-0.931382896291155	0.543624620567539	10	10	0.125012293657422	0.362535651606524
GLCMANNANAUT.PWY..superpathway.of.N.acetylglucosamine..N.acetylmannosamine.and.N.acetylneuraminate.degradation	Group	Homo	-0.697587994090002	0.410206885051735	10	10	0.127441709764304	0.365921740907409
GLYOXYLATE.BYPASS..glyoxylate.cycle	Group	Homo	0.415676655214734	0.254850454351453	10	2	0.141523281582976	0.380486509000211
NADSYN.PWY..NAD.de.novo.biosynthesis.II..from.tryptophan.	Group	Homo	0.443003622300681	0.273405190552747	10	2	0.143822792382314	0.380486509000211
P41.PWY..pyruvate.fermentation.to.acetate.and..S..lactate.I	Group	Homo	-0.601223328361975	0.373798132034758	10	10	0.14641046520039	0.380486509000211
PWY.5100..pyruvate.fermentation.to.acetate.and.lactate.II	Group	Homo	-0.601223328361975	0.373798132034758	10	10	0.14641046520039	0.380486509000211
PWY.5651..L.tryptophan.degradation.to.2.amino.3.carboxymuconate.semialdehyde	Group	Homo	0.442885059939342	0.273321507290962	10	2	0.143809355412887	0.380486509000211
PWY.6353..purine.nucleotides.degradation.II..aerobic.	Group	Homo	-1.02365822634442	0.61519424907527	10	10	0.134689275262037	0.380486509000211
PWY.7039..phosphatidate.metabolism..as.a.signaling.molecule	Group	Homo	0.449053554972753	0.277709052332276	10	2	0.1445417089514	0.380486509000211
PWY.7118..chitin.deacetylation	Group	Homo	0.406294914120611	0.248853571764541	10	2	0.141182503567844	0.380486509000211
PWY.7391..isoprene.biosynthesis.II..engineered.	Group	Homo	0.466570114807549	0.290521280851773	10	2	0.146946513820771	0.380486509000211
PWY.8187..L.arginine.degradation.XIII..reductive.Stickland.reaction.	Group	Homo	0.365100794285206	0.221364505357785	10	10	0.137692039316109	0.380486509000211
PWY0.1296..purine.ribonucleosides.degradation	Group	Homo	-0.398112140614442	0.246364586725793	10	10	0.144768419245004	0.380486509000211
PWY.1861..formaldehyde.assimilation.II..assimilatory.RuMP.Cycle.	Group	Homo	2.23762630718835	1.43351107519449	10	6	0.157160329322043	0.398329561624835
PWY.6629..superpathway.of.L.tryptophan.biosynthesis	Group	Homo	-0.580007384816079	0.370128423210475	10	10	0.155739532309508	0.398329561624835
PWY.724..superpathway.of.L.lysine..L.threonine.and.L.methionine.biosynthesis.II	Group	Homo	-0.126131438863926	0.0809814150288497	10	10	0.157958274437435	0.398329561624835
ANAEROFRUCAT.PWY..homolactic.fermentation	Group	Homo	-0.293941763910095	0.191219977940194	10	10	0.162801866187135	0.404482122264137
NAD.BIOSYNTHESIS.II..NAD.salvage.pathway.III..to.nicotinamide.riboside.	Group	Homo	0.558763059156552	0.364464849745092	10	2	0.163790732816926	0.404482122264137
PWY.1042..glycolysis.IV	Group	Homo	0.188524649107258	0.123657442776323	10	10	0.165873331326794	0.404482122264137
PWY.5080..very.long.chain.fatty.acid.biosynthesis.I	Group	Homo	0.569734726743422	0.373805157114894	10	2	0.16597714672218	0.404482122264137
FASYN.ELONG.PWY..fatty.acid.elongation....saturated	Group	Homo	-0.925311146181828	0.621271697771829	10	9	0.174714183653491	0.416502206234622
HISDEG.PWY..L.histidine.degradation.I	Group	Homo	-0.497859922199985	0.339414362967817	10	10	0.180601445258353	0.416502206234622
PWY.5989..stearate.biosynthesis.II..bacteria.and.plants.	Group	Homo	-0.928271822255665	0.627913563728723	10	9	0.177573020978672	0.416502206234622
PWY.6282..palmitoleate.biosynthesis.I..from..5Z..dodec.5.enoate.	Group	Homo	-0.927298200345738	0.629792754900782	10	9	0.179132964767124	0.416502206234622
PWY.6922..L.N.delta..acetylornithine.biosynthesis	Group	Homo	0.629966228482314	0.426467272820639	10	2	0.177878353791449	0.416502206234622
PWY.7664..oleate.biosynthesis.IV..anaerobic.	Group	Homo	-0.924644726647578	0.625790480304294	10	9	0.17777672502402	0.416502206234622
PWY0.862...5Z..dodecenoate.biosynthesis.I	Group	Homo	-0.923900387942702	0.630452438819785	10	9	0.180963027536422	0.416502206234622
PWY.5136..fatty.acid..beta..oxidation.II..plant.peroxisome.	Group	Homo	0.911375029425156	0.630969763384443	10	10	0.186624405593362	0.416917767234615
PWY.5154..L.arginine.biosynthesis.III..via.N.acetyl.L.citrulline.	Group	Homo	-0.552703965383634	0.380960450651054	10	10	0.184883337339855	0.416917767234615
PWY.5837..2.carboxy.1.4.naphthoquinol.biosynthesis	Group	Homo	-0.757831315721163	0.532192219676061	10	10	0.192265330977936	0.416917767234615
PWY.5838..superpathway.of.menaquinol.8.biosynthesis.I	Group	Homo	-0.705889984515819	0.494834184105788	10	10	0.191556328207907	0.416917767234615
